Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2010-01-01,4560,12654,Friday,4,96,24.0,527,1,2010,0.711418451678192,,,
2010-01-02,4560,8838,Saturday,5,96,24.0,368,1,2010,0.49687974363299037,,-0.2145387080452016,
2010-01-03,4560,6272,Sunday,6,96,24.0,261,1,2010,0.3526170798898072,,-0.1442626637431832,
2010-01-04,4560,18855,Monday,0,96,24.0,785,1,2010,1.0600438522516444,,0.7074267723618373,
2010-01-05,4560,17521,Tuesday,1,96,24.0,730,1,2010,0.9850452577725305,,-0.07499859447911394,
2010-01-06,4560,5885,Wednesday,2,96,24.0,245,1,2010,0.3308596165739023,,-0.6541856411986282,
2010-01-07,4560,17465,Thursday,3,96,24.0,727,1,2010,0.9818968909878001,0.8914510671654606,0.6510372744138978,
2010-01-08,4560,17666,Friday,4,96,24.0,736,1,2010,0.9931972789115646,0.7536545998418587,0.011300387923764532,-0.13779646732360196
2010-01-09,4560,9824,Saturday,5,96,24.0,409,1,2010,0.5523134873784225,-0.6093500328583408,-0.44088379153314217,-1.3630046327001994
2010-01-10,4560,6186,Sunday,6,96,24.0,257,1,2010,0.3477820880418283,-1.2312335270274846,-0.20453139933659414,-0.6218834941691438
2010-01-11,4560,18316,Monday,0,96,24.0,763,1,2010,1.0297408219486142,0.8811792015622154,0.6819587339067859,2.1124127285897
2010-01-12,4560,17155,Tuesday,1,96,24.0,714,1,2010,0.9644684320008995,0.6930082241976928,-0.06527238994771467,-0.1881709773645226
2010-01-13,4560,16431,Wednesday,2,96,24.0,684,1,2010,0.9237645471411705,0.36088503603407524,-0.04070388485972898,-0.3321231881636176
2010-01-14,4560,16342,Thursday,3,96,24.0,680,1,2010,0.9187608927868668,0.38325012832644,-0.0050036543543037215,0.022365092292364774
2010-01-15,4560,18352,Friday,4,96,24.0,764,1,2010,1.0317647720245122,0.7805483509014504,0.11300387923764543,0.39729822257501035
2010-01-16,4560,10314,Saturday,5,96,24.0,429,1,2010,0.5798616967448136,-0.9488202468480239,-0.45190307527969864,-1.7293685977494744
2010-01-17,4560,6333,Sunday,6,96,24.0,263,1,2010,0.35604655085174564,-1.826697154490576,-0.22381514589306795,-0.877876907642552
2010-01-18,4560,16982,Monday,0,96,24.0,707,1,2010,0.9547422274695002,0.5433607710462052,0.5986956766177546,2.370057925536781
2010-01-19,4558,15996,Tuesday,1,95,23.75,673,1,2010,0.8993084837240681,0.3669821346403895,-0.055433743745432085,-0.1763786364058157
2010-01-20,4560,16419,Wednesday,2,96,24.0,684,1,2010,0.9230898971158712,0.4643041953026665,0.023781413391803063,0.097322060662277
