Date,Interval,Calls,#_day_of_week,day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year
2015-12-31,282,0,3,Thursday,3,0.75,0,12,2015
2016-01-01,4560,0,4,Friday,96,24.0,0,1,2016
2016-01-02,4560,645,5,Saturday,96,24.0,26,1,2016
2016-01-03,4560,0,6,Sunday,96,24.0,0,1,2016
2016-01-04,4560,1661,0,Monday,96,24.0,69,1,2016
2016-01-05,4560,998,1,Tuesday,96,24.0,41,1,2016
2016-01-06,4560,0,2,Wednesday,96,24.0,0,1,2016
2016-01-07,4560,1055,3,Thursday,96,24.0,43,1,2016
2016-01-08,4560,789,4,Friday,96,24.0,32,1,2016
2016-01-09,4560,322,5,Saturday,96,24.0,13,1,2016
2016-01-10,4560,0,6,Sunday,96,24.0,0,1,2016
2016-01-11,4560,842,0,Monday,96,24.0,35,1,2016
2016-01-12,4560,696,1,Tuesday,96,24.0,29,1,2016
2016-01-13,4560,872,2,Wednesday,96,24.0,36,1,2016
2016-01-14,4560,575,3,Thursday,96,24.0,23,1,2016
2016-01-15,4560,572,4,Friday,96,24.0,23,1,2016
2016-01-16,4560,348,5,Saturday,96,24.0,14,1,2016
2016-01-17,4560,0,6,Sunday,96,24.0,0,1,2016
2016-01-18,4560,754,0,Monday,96,24.0,31,1,2016
2016-01-19,4560,621,1,Tuesday,96,24.0,25,1,2016
2016-01-20,4560,601,2,Wednesday,96,24.0,25,1,2016
2016-01-21,4560,674,3,Thursday,96,24.0,28,1,2016
2016-01-22,4560,605,4,Friday,96,24.0,25,1,2016
2016-01-23,4560,234,5,Saturday,96,24.0,9,1,2016
2016-01-24,4560,0,6,Sunday,96,24.0,0,1,2016
2016-01-25,4560,593,0,Monday,96,24.0,24,1,2016
2016-01-26,4560,535,1,Tuesday,96,24.0,22,1,2016
2016-01-27,4560,495,2,Wednesday,96,24.0,20,1,2016
2016-01-28,4560,513,3,Thursday,96,24.0,21,1,2016
2016-01-29,4560,468,4,Friday,96,24.0,19,1,2016
2016-01-30,4560,144,5,Saturday,96,24.0,6,1,2016
2016-01-31,4560,0,6,Sunday,96,24.0,0,1,2016
2016-02-01,4560,555,0,Monday,96,24.0,23,2,2016
2016-02-02,4560,536,1,Tuesday,96,24.0,22,2,2016
2016-02-03,4560,504,2,Wednesday,96,24.0,21,2,2016
2016-02-04,4560,420,3,Thursday,96,24.0,17,2,2016
2016-02-05,4560,355,4,Friday,96,24.0,14,2,2016
2016-02-06,4560,127,5,Saturday,96,24.0,5,2,2016
2016-02-07,4560,0,6,Sunday,96,24.0,0,2,2016
2016-02-08,4560,487,0,Monday,96,24.0,20,2,2016
2016-02-09,4560,359,1,Tuesday,96,24.0,14,2,2016
2016-02-10,4560,394,2,Wednesday,96,24.0,16,2,2016
2016-02-11,4560,409,3,Thursday,96,24.0,17,2,2016
2016-02-12,4560,348,4,Friday,96,24.0,14,2,2016
2016-02-13,4560,109,5,Saturday,96,24.0,4,2,2016
2016-02-14,4560,0,6,Sunday,96,24.0,0,2,2016
2016-02-15,4560,451,0,Monday,96,24.0,18,2,2016
2016-02-16,4560,393,1,Tuesday,96,24.0,16,2,2016
2016-02-17,4560,404,2,Wednesday,96,24.0,16,2,2016
2016-02-18,4560,340,3,Thursday,96,24.0,14,2,2016
2016-02-19,4560,333,4,Friday,96,24.0,13,2,2016
2016-02-20,4560,97,5,Saturday,96,24.0,4,2,2016
2016-02-21,4560,0,6,Sunday,96,24.0,0,2,2016
2016-02-22,4560,390,0,Monday,96,24.0,16,2,2016
2016-02-23,4560,310,1,Tuesday,96,24.0,12,2,2016
2016-02-24,4560,280,2,Wednesday,96,24.0,11,2,2016
2016-02-25,4560,347,3,Thursday,96,24.0,14,2,2016
2016-02-26,4560,282,4,Friday,96,24.0,11,2,2016
2016-02-27,4560,117,5,Saturday,96,24.0,4,2,2016
2016-02-28,4560,0,6,Sunday,96,24.0,0,2,2016
2016-02-29,4560,356,0,Monday,96,24.0,14,2,2016
2016-03-01,4560,352,1,Tuesday,96,24.0,14,3,2016
2016-03-02,4560,337,2,Wednesday,96,24.0,14,3,2016
2016-03-03,4560,390,3,Thursday,96,24.0,16,3,2016
2016-03-04,4560,328,4,Friday,96,24.0,13,3,2016
2016-03-05,4560,108,5,Saturday,96,24.0,4,3,2016
2016-03-06,4560,0,6,Sunday,96,24.0,0,3,2016
2016-03-07,4560,344,0,Monday,96,24.0,14,3,2016
2016-03-08,4560,343,1,Tuesday,96,24.0,14,3,2016
2016-03-09,4560,325,2,Wednesday,96,24.0,13,3,2016
2016-03-10,4560,329,3,Thursday,96,24.0,13,3,2016
2016-03-11,4560,332,4,Friday,96,24.0,13,3,2016
2016-03-12,4560,91,5,Saturday,96,24.0,3,3,2016
2016-03-13,4560,0,6,Sunday,96,24.0,0,3,2016
2016-03-14,4560,428,0,Monday,96,24.0,17,3,2016
2016-03-15,4560,368,1,Tuesday,96,24.0,15,3,2016
2016-03-16,4560,382,2,Wednesday,96,24.0,15,3,2016
2016-03-17,4560,292,3,Thursday,96,24.0,12,3,2016
2016-03-18,4560,291,4,Friday,96,24.0,12,3,2016
2016-03-19,4560,87,5,Saturday,96,24.0,3,3,2016
2016-03-20,4560,3,6,Sunday,96,24.0,0,3,2016
2016-03-21,4560,339,0,Monday,96,24.0,14,3,2016
2016-03-22,4560,291,1,Tuesday,96,24.0,12,3,2016
2016-03-23,4560,298,2,Wednesday,96,24.0,12,3,2016
2016-03-24,4560,118,3,Thursday,96,24.0,4,3,2016
2016-03-25,4560,0,4,Friday,96,24.0,0,3,2016
2016-03-26,4560,74,5,Saturday,96,24.0,3,3,2016
2016-03-27,4560,0,6,Sunday,96,24.0,0,3,2016
2016-03-28,4560,191,0,Monday,96,24.0,7,3,2016
2016-03-29,4560,276,1,Tuesday,96,24.0,11,3,2016
2016-03-30,4560,211,2,Wednesday,96,24.0,8,3,2016
2016-03-31,4560,204,3,Thursday,96,24.0,8,3,2016
2016-04-01,4560,197,4,Friday,96,24.0,8,4,2016
2016-04-02,4560,94,5,Saturday,96,24.0,3,4,2016
2016-04-03,4560,0,6,Sunday,96,24.0,0,4,2016
2016-04-04,4560,242,0,Monday,96,24.0,10,4,2016
2016-04-05,4560,259,1,Tuesday,96,24.0,10,4,2016
2016-04-06,4560,246,2,Wednesday,96,24.0,10,4,2016
2016-04-07,4560,251,3,Thursday,96,24.0,10,4,2016
2016-04-08,4560,224,4,Friday,96,24.0,9,4,2016
2016-04-09,4560,94,5,Saturday,96,24.0,3,4,2016
2016-04-10,4560,0,6,Sunday,96,24.0,0,4,2016
2016-04-11,4560,261,0,Monday,96,24.0,10,4,2016
2016-04-12,4560,254,1,Tuesday,96,24.0,10,4,2016
2016-04-13,4560,239,2,Wednesday,96,24.0,9,4,2016
2016-04-14,4560,219,3,Thursday,96,24.0,9,4,2016
2016-04-15,4560,213,4,Friday,96,24.0,8,4,2016
2016-04-16,4560,83,5,Saturday,96,24.0,3,4,2016
2016-04-17,4560,0,6,Sunday,96,24.0,0,4,2016
2016-04-18,4560,274,0,Monday,96,24.0,11,4,2016
2016-04-19,4560,246,1,Tuesday,96,24.0,10,4,2016
2016-04-20,4560,263,2,Wednesday,96,24.0,10,4,2016
2016-04-21,4560,257,3,Thursday,96,24.0,10,4,2016
2016-04-22,4560,220,4,Friday,96,24.0,9,4,2016
2016-04-23,4560,95,5,Saturday,96,24.0,3,4,2016
2016-04-24,4560,0,6,Sunday,96,24.0,0,4,2016
2016-04-25,4560,296,0,Monday,96,24.0,12,4,2016
2016-04-26,4560,253,1,Tuesday,96,24.0,10,4,2016
2016-04-27,4560,251,2,Wednesday,96,24.0,10,4,2016
2016-04-28,4560,228,3,Thursday,96,24.0,9,4,2016
2016-04-29,4560,241,4,Friday,96,24.0,10,4,2016
2016-04-30,4560,109,5,Saturday,96,24.0,4,4,2016
2016-05-01,4560,0,6,Sunday,96,24.0,0,5,2016
2016-05-02,4560,206,0,Monday,96,24.0,8,5,2016
2016-05-03,4560,282,1,Tuesday,96,24.0,11,5,2016
2016-05-04,4560,241,2,Wednesday,96,24.0,10,5,2016
2016-05-05,4560,265,3,Thursday,96,24.0,11,5,2016
2016-05-06,4560,253,4,Friday,96,24.0,10,5,2016
2016-05-07,4560,86,5,Saturday,96,24.0,3,5,2016
2016-05-08,4560,0,6,Sunday,96,24.0,0,5,2016
2016-05-09,4560,271,0,Monday,96,24.0,11,5,2016
2016-05-10,4560,250,1,Tuesday,96,24.0,10,5,2016
2016-05-11,4560,288,2,Wednesday,96,24.0,12,5,2016
2016-05-12,4560,264,3,Thursday,96,24.0,11,5,2016
2016-05-13,4560,228,4,Friday,96,24.0,9,5,2016
2016-05-14,4560,84,5,Saturday,96,24.0,3,5,2016
2016-05-15,4560,0,6,Sunday,96,24.0,0,5,2016
2016-05-16,4560,215,0,Monday,96,24.0,8,5,2016
2016-05-17,4560,244,1,Tuesday,96,24.0,10,5,2016
2016-05-18,4560,254,2,Wednesday,96,24.0,10,5,2016
2016-05-19,4560,256,3,Thursday,96,24.0,10,5,2016
2016-05-20,4560,234,4,Friday,96,24.0,9,5,2016
2016-05-21,4560,77,5,Saturday,96,24.0,3,5,2016
2016-05-22,4560,0,6,Sunday,96,24.0,0,5,2016
2016-05-23,4560,270,0,Monday,96,24.0,11,5,2016
2016-05-24,4560,227,1,Tuesday,96,24.0,9,5,2016
2016-05-25,4560,227,2,Wednesday,96,24.0,9,5,2016
2016-05-26,4560,217,3,Thursday,96,24.0,9,5,2016
2016-05-27,4560,183,4,Friday,96,24.0,7,5,2016
2016-05-28,4560,81,5,Saturday,96,24.0,3,5,2016
2016-05-29,4560,0,6,Sunday,96,24.0,0,5,2016
2016-05-30,4560,267,0,Monday,96,24.0,11,5,2016
2016-05-31,4560,227,1,Tuesday,96,24.0,9,5,2016
2016-06-01,4560,232,2,Wednesday,96,24.0,9,6,2016
2016-06-02,4560,232,3,Thursday,96,24.0,9,6,2016
2016-06-03,4560,189,4,Friday,96,24.0,7,6,2016
2016-06-04,4560,66,5,Saturday,96,24.0,2,6,2016
