Date,Interval,Calls
2010-01-03,23532,64036
2010-01-10,31920,93402
2010-01-17,31920,103243
2010-01-24,31918,100144
2010-01-31,31920,106557
2010-02-07,31920,109606
2010-02-14,31920,107226
2010-02-21,31920,104901
2010-02-28,31920,104535
2010-03-07,31920,109521
2010-03-14,31920,106640
2010-03-21,31911,108591
2010-03-28,31910,109810
2010-04-04,31920,104904
2010-04-11,31914,103359
2010-04-18,31912,118788
2010-04-25,31911,114792
2010-05-02,31920,120364
2010-05-09,31920,120145
2010-05-16,31920,116591
2010-05-23,31827,129311
2010-05-30,31917,122381
2010-06-06,31920,132698
2010-06-13,31920,128805
2010-06-20,31920,127414
2010-06-27,31920,119545
2010-07-04,31920,132910
2010-07-11,31920,130653
2010-07-18,31920,128004
2010-07-25,31920,124268
2010-08-01,31920,125640
2010-08-08,31920,132796
2010-08-15,31920,129056
2010-08-22,31920,123552
2010-08-29,31920,118536
2010-09-05,31920,121182
2010-09-12,31920,120379
2010-09-19,31920,116902
2010-09-26,31912,113096
2010-10-03,31920,114980
2010-10-10,31920,114714
2010-10-17,31920,113307
2010-10-24,31920,107637
2010-10-31,31898,108076
2010-11-07,31904,106747
2010-11-14,31920,106082
2010-11-21,31821,105167
2010-11-28,31910,104280
2010-12-05,31920,115665
2010-12-12,31871,106198
2010-12-19,31920,122278
2010-12-26,31920,101178
2011-01-02,31920,97986
2011-01-09,31920,87020
2011-01-16,31920,97347
2011-01-23,31909,97575
2011-01-30,31912,102373
2011-02-06,31920,106908
2011-02-13,31920,103296
2011-02-20,30388,104370
2011-02-27,31280,97716
2011-03-06,31920,99230
2011-03-13,31920,98711
2011-03-20,31920,99898
2011-03-27,31914,103118
2011-04-03,31919,106038
2011-04-10,31919,108050
2011-04-17,31920,110114
2011-04-24,31920,100232
2011-05-01,31920,108067
2011-05-08,31827,113866
2011-05-15,31917,116622
2011-05-22,31825,115230
2011-05-29,31920,114236
2011-06-05,31910,115508
2011-06-12,31920,129356
2011-06-19,31920,124059
2011-06-26,31920,112839
2011-07-03,31920,128239
2011-07-10,31920,125696
2011-07-17,31920,118065
2011-07-24,31920,117294
2011-07-31,31920,116358
2011-08-07,31920,123196
2011-08-14,31920,112437
2011-08-21,31920,112850
2011-08-28,31917,112190
2011-09-04,31915,111335
2011-09-11,31920,111473
2011-09-18,31920,107866
2011-09-25,31913,104432
2011-10-02,31826,104590
2011-10-09,31920,104958
2011-10-16,31920,101514
2011-10-23,31630,96599
2011-10-30,31727,96154
2011-11-06,31920,98661
2011-11-13,31914,96546
2011-11-20,31920,96064
2011-11-27,31920,95597
2011-12-04,31903,102869
2011-12-11,31920,95873
2011-12-18,31920,114517
2011-12-25,31920,100554
2012-01-01,31920,101133
2012-01-08,31920,76422
2012-01-15,31785,87948
2012-01-22,31920,88203
2012-01-29,31920,88072
2012-02-05,31920,92232
2012-02-12,31920,90946
2012-02-19,31920,91965
2012-02-26,31911,87126
2012-03-04,31920,87342
2012-03-11,31920,86416
2012-03-18,31812,90109
2012-03-25,31825,91489
2012-04-01,31912,92885
2012-04-08,31920,83659
2012-04-15,31806,86150
2012-04-22,31920,95209
2012-04-29,31913,100379
2012-05-06,31913,93435
2012-05-13,31825,101532
2012-05-20,31918,93572
2012-05-27,31920,103980
2012-06-03,31912,102370
2012-06-10,31920,104333
2012-06-17,31920,107771
2012-06-24,31919,93757
2012-07-01,31920,98490
2012-07-08,31920,103332
2012-07-15,31920,96545
2012-07-22,31920,94479
2012-07-29,31905,92169
2012-08-05,31920,96155
2012-08-12,31920,91915
2012-08-19,31919,99453
2012-08-26,31920,94514
2012-09-02,31912,95395
2012-09-09,31910,95052
2012-09-16,31915,95008
2012-09-23,31920,90447
2012-09-30,31919,91210
2012-10-07,31920,91785
2012-10-14,31920,88982
2012-10-21,28467,81429
2012-10-28,31898,89241
2012-11-04,31898,87645
2012-11-11,31910,85291
2012-11-18,31891,83750
2012-11-25,31907,81537
2012-12-02,31913,85770
2012-12-09,31920,86904
2012-12-16,31908,106520
2012-12-23,31920,103753
2012-12-30,31920,54435
2013-01-06,31641,73854
2013-01-13,31893,74301
2013-01-20,31918,72878
2013-01-27,31900,71647
2013-02-03,31907,74962
2013-02-10,31909,74233
2013-02-17,31915,75699
2013-02-24,31914,69829
2013-03-03,31907,72256
2013-03-10,31910,74565
2013-03-17,31817,78005
2013-03-24,31913,78002
2013-03-31,31908,73217
2013-04-07,31920,72651
2013-04-14,31821,77632
2013-04-21,31908,80831
2013-04-28,31907,83959
2013-05-05,31824,78910
2013-05-12,31825,79124
2013-05-19,31915,89374
2013-05-26,31919,88586
2013-06-02,31912,93244
2013-06-09,31578,95140
2013-06-16,31818,90171
2013-06-23,31827,82296
2013-06-30,31914,89878
2013-07-07,31920,86957
2013-07-14,31920,80185
2013-07-21,31920,78327
2013-07-28,31916,78371
2013-08-04,31920,80148
2013-08-11,31825,79696
2013-08-18,31909,77948
2013-08-25,31907,79444
2013-09-01,31904,79637
2013-09-08,31821,79244
2013-09-15,31917,76547
2013-09-22,31827,74033
2013-09-29,31920,73440
2013-10-06,31913,73298
2013-10-13,31920,70670
2013-10-20,31917,68461
2013-10-27,31892,66179
2013-11-03,31911,67088
2013-11-10,31892,67045
2013-11-17,31909,66714
2013-11-24,31910,65510
2013-12-01,31896,67408
2013-12-08,31912,67900
2013-12-15,31918,90154
2013-12-22,31920,81469
2013-12-29,31920,42448
2014-01-05,31920,55337
2014-01-12,31908,52617
2014-01-19,31718,58440
2014-01-26,31825,57272
2014-02-02,31813,57750
2014-02-09,31916,59458
2014-02-16,31920,59445
2014-02-23,31804,53237
2014-03-02,31905,55979
2014-03-09,31821,56880
2014-03-16,31886,57879
2014-03-23,31902,57828
2014-03-30,31887,60477
2014-04-06,31907,61298
2014-04-13,31730,61729
2014-04-20,31904,57472
2014-04-27,31903,59037
2014-05-04,31820,58969
2014-05-11,31730,63486
2014-05-18,31709,65225
2014-05-25,31919,69318
2014-06-01,31817,61629
2014-06-08,31914,71913
2014-06-15,31919,69402
2014-06-22,31735,59416
2014-06-29,31826,62740
2014-07-06,31918,64705
2014-07-13,31912,61742
2014-07-20,31917,61295
2014-07-27,31920,60495
2014-08-03,31920,63194
2014-08-10,31825,62485
2014-08-17,31907,60632
2014-08-24,31904,60045
2014-08-31,31906,60738
2014-09-07,31805,61049
2014-09-14,31819,59773
2014-09-21,31820,58362
2014-09-28,31717,56884
2014-10-05,31911,57851
2014-10-12,31818,54750
2014-10-19,31908,52568
2014-10-26,31877,52317
2014-11-02,31889,53308
2014-11-09,31908,54599
2014-11-16,31888,52773
2014-11-23,31894,51046
2014-11-30,31808,51450
2014-12-07,31911,54587
2014-12-14,31905,63509
2014-12-21,31892,62145
2014-12-28,31920,36450
2015-01-04,31920,44379
2015-01-11,31882,42181
2015-01-18,31790,47705
2015-01-25,31812,46276
2015-02-01,31715,48041
2015-02-08,31905,49155
2015-02-15,31817,49793
2015-02-22,31879,44219
2015-03-01,31687,44491
2015-03-08,31703,46134
2015-03-15,31876,47358
2015-03-22,31704,47587
2015-03-29,29687,45200
2015-04-05,31820,44280
2015-04-12,31737,44914
2015-04-19,31907,49529
2015-04-26,31812,49712
2015-05-03,31631,46574
2015-05-10,31809,51908
2015-05-17,31818,46124
2015-05-24,31727,52279
2015-05-31,31722,54384
2015-06-07,31736,53686
2015-06-14,31637,54434
2015-06-21,31822,48041
2015-06-28,31824,50550
2015-07-05,31910,52441
2015-07-12,31920,46047
2015-07-19,31907,46135
2015-07-26,31920,44920
2015-08-02,31888,44800
2015-08-09,31911,48108
2015-08-16,31604,48793
2015-08-23,31798,49434
2015-08-30,31818,47802
2015-09-06,31732,47922
2015-09-13,31615,46557
2015-09-20,31885,45138
2015-09-27,31524,44753
2015-10-04,31516,46708
2015-10-11,31713,45090
2015-10-18,31799,41877
2015-10-25,31490,41286
2015-11-01,31771,42421
2015-11-08,31731,42427
2015-11-15,31882,42509
2015-11-22,31798,41675
2015-11-29,31782,41820
2015-12-06,31818,45298
2015-12-13,31896,49323
2015-12-20,31891,49102
2015-12-27,31798,34238
2016-01-03,31902,33505
2016-01-10,31707,34725
2016-01-17,31685,37562
2016-01-24,31794,36660
2016-01-31,31820,39717
2016-02-07,31814,42594
2016-02-14,31791,39592
2016-02-21,31771,35528
2016-02-28,31681,33984
2016-03-06,31375,34744
2016-03-13,31662,34245
2016-03-20,31671,35407
2016-03-27,31484,31726
2016-04-03,31252,33145
2016-04-10,31135,36620
2016-04-17,31621,36855
2016-04-24,31241,36463
2016-05-01,31509,38454
2016-05-08,31631,36328
2016-05-15,31515,39294
2016-05-22,31541,38534
2016-05-29,31698,39620
2016-06-05,31819,42307
2016-06-12,31617,39399
2016-06-19,31801,39797
2016-06-26,31710,36301
2016-07-03,31722,39886
2016-07-10,31910,36483
2016-07-17,31731,36614
2016-07-24,31900,34604
2016-07-31,31638,34647
2016-08-07,31709,36010
2016-08-14,31599,34496
2016-08-21,31704,34598
2016-08-28,31533,36074
2016-09-04,31797,36623
2016-09-11,31341,35672
2016-09-18,31704,34690
2016-09-25,30909,32977
2016-10-02,31526,33591
2016-10-09,31328,33778
2016-10-16,31137,32103
2016-10-23,31344,29462
2016-10-30,31507,30744
2016-11-06,31690,31717
2016-11-13,31756,31684
2016-11-20,31576,32220
2016-11-27,31653,31492
2016-12-04,31836,33411
2016-12-11,31787,30773
2016-12-18,31724,37158
2016-12-25,31857,33013
2017-01-01,31894,25814
2017-01-08,31750,23730
2017-01-15,31834,27670
2017-01-22,31522,26314
2017-01-29,31542,26248
2017-02-05,31647,27383
2017-02-12,31655,26322
2017-02-19,31739,27679
2017-02-26,31664,25753
2017-03-05,31564,26417
2017-03-12,31781,26938
2017-03-19,31397,27660
2017-03-26,31377,27926
2017-04-02,31179,27731
2017-04-09,31420,28407
2017-04-16,31608,25334
2017-04-23,30548,25417
2017-04-30,31155,29977
2017-05-07,31349,26982
2017-05-14,31083,27568
2017-05-21,31052,29073
2017-05-28,31337,27188
2017-06-04,31130,30938
2017-06-11,31525,32125
2017-06-18,31802,31690
2017-06-25,31506,27393
2017-07-02,31817,29894
2017-07-09,31883,28697
2017-07-16,31709,27050
2017-07-23,31720,25079
2017-07-30,31338,25086
2017-08-06,31679,26230
2017-08-13,31688,26750
2017-08-20,30867,27416
2017-08-27,31526,26831
2017-09-03,31230,26582
2017-09-10,31505,26811
2017-09-17,31517,25742
2017-09-24,31089,24786
2017-10-01,31304,24657
2017-10-08,30863,24917
2017-10-15,31399,24541
2017-10-22,31594,24221
2017-10-29,31316,26100
2017-11-05,31249,26158
2017-11-12,31782,24206
2017-11-19,31248,23972
2017-11-26,31565,24058
2017-12-03,31568,25551
2017-12-10,31906,26065
2017-12-17,31813,32447
2017-12-24,31834,29270
2017-12-31,31908,19625
2018-01-07,31663,20147
2018-01-14,31721,21391
2018-01-21,31405,21104
2018-01-28,31551,21829
2018-02-04,31545,21900
2018-02-11,31275,21766
2018-02-18,31673,21800
2018-02-25,30976,20263
2018-03-04,31567,22232
2018-03-11,31439,21981
2018-03-18,31256,22825
2018-03-25,31171,22714
2018-04-01,31211,20776
2018-04-08,31345,21011
2018-04-15,31143,23554
2018-04-22,30694,22679
2018-04-29,31115,23061
2018-05-06,31418,21235
2018-05-13,31494,22461
2018-05-20,31324,24963
2018-05-27,31208,24970
2018-06-03,31215,25294
2018-06-10,31419,24303
2018-06-17,31709,25026
2018-06-24,31347,22629
2018-07-01,31437,23281
2018-07-08,31530,23153
2018-07-15,31692,21938
2018-07-22,31718,20916
2018-07-29,31601,20952
2018-08-05,31513,22128
2018-08-12,31012,21007
2018-08-19,31087,21515
2018-08-26,30930,20925
2018-09-02,30639,20993
2018-09-09,31361,21746
2018-09-16,30937,20584
2018-09-23,31033,19981
2018-09-30,31040,19842
2018-10-07,30997,19542
2018-10-14,30862,19527
2018-10-21,30748,18209
2018-10-28,30829,18384
2018-11-04,31004,18592
2018-11-11,31001,18032
2018-11-18,30482,17754
2018-11-25,31234,17555
2018-12-02,31531,18152
2018-12-09,31599,17324
